"MODULE","MODULE_TITLE"
"IB1040","Mathematical Programming I"
"IB2070","Mathematical Programming 2"
"IB1200","Operations Management"
"IB1230","Foundations of Organisational Behaviour"
"EC1310","Economics for Business"
"IB1210","Quantitative Analysis for Management I"
"IB1320","Foundations of Finance"
"IB1330","Foundations of Accounting"
"IB1160","Foundations of Management Accounting"
"IB2090","Marketing"
"IB3D80","Corporate Strategy Part A"
"IB3840","Supply Chain Management"
"IB2650","Service Marketing"
"IB3130","Business Studies I"
"IB3490","Operational Research for Strategic Planning"
"IB3A70","The Practice of Operational Research"
"IB2B40","Digital Business in Modern Organisations"
"IB3A50","Marketing Management"
"IB3E60","Ethical Issues & Social Responsibility in Contemporary Business"
"IB3520","Applied Optimisation Methods"
"IB2A50","Web Applications Development"
"IB3680","International Business Strategy"
"IB2380","Organisational Analysis"
"IB2110","Simulation"
"IB2530","Principles of Finance 1"
"IB3570","Investment Management"
"ST9060","Financial Time Series"
"ST9580","Topics in Mathematical Finance"
"IB3820","Project Management"
"IB4030","MMORSE - Dissertation"
"IB3J30","Mathematical Game Theory: Combinatorial and Search Games"
"IB1240","Introduction to Financial Accounting"
"IB1250","Foundations of Financial Management"
"IB1220","Quantitative Analysis for Management II"
"IB1390","CORE Practice: Shaping your future self"
"IB1380","Management, Organisation and Society"
"IB1170","Markets, Marketing and Strategy"
"IB1150","Business Planning - Integrative Project"
"EC2290","Economics of Strategy"
"IB1130","Business Law 1"
"IB2200","Quantitative Methods for Resource Management"
"IB2350","Finance 1: Financial Markets"
"IB2360","Finance 2: Corporate Finance"
"IB2480","Governance, Politics and Corporate Accountability"
"IB2490","Global Environment of Business"
"IB2500","Global Integrative Project"
"IB2370","Business Law 2"
"IB3810","Critical Issues in Management"
"IB3950","Finance in New Ventures"
"IB3960","Financial Statement Analysis & Security Valuation"
"IB3H70","Mergers and Acquisitions"
"IB3K70","Financial Markets: Organisations and Technology"
"IB1140","Financial Management"
"IB2300","Accounting in Context"
"IB2320","Issues in Management Accounting"
"IB2330","Financial Reporting 1"
"IB2340","Financial Reporting 2"
"IB3370","Business Taxation"
"IB3620","Managing Human Resources"
"IB3940","International Financial Management"
"IB3F20","Company Law"
"LL2270","Chinese 2"
"IB3590","Derivatives and Risk Management
"
"IB3J20","Decision Making under Uncertainty"
"IB3700","Strategic Information Management"
"IB3730","Advanced Management Accounting"
"LL2910","Japanese for Beginners (Accerlerated)"
"IB3F00","Auditing, Governance and Accountability"
"IB3A90","Design in Business"
"IB2440","Managing Customer Service"
"IB3K80","The Economics of Well-Being"
"IB1370","Programming Solutions 1"
"IB2550","Entrepreneurship and New Businesses"
"EC3350","Managerial Economics"
"IB2400","Understanding Employment Relations"
"LA1150","The Modern English Legal System"
"LA1240","Tort Law"
"IB3A20","Critical Issues in Law and Management"
"LA2400","Foundations of European Law"
"LA2430","Contract Law"
"LA3660","Global Intellectual Property Law and Policy"
"IB2580","Foundations of Human Sociality and Cooperation"
"IB2640","Acting Responsibly"
"LA1030","Introduction to the Law of Property Relations"
"LA2300","Law and the International Business Environment"
"LA3100","Law of Business Organisations"
"LA3330","Medicine and the Law"
"LA1040","Criminal Law"
"LA3070","Law of Trusts A and B"
"LA2010","General Principles of Constitutional & Admin Law"
"IB3H90","Strategic Games:Thinking rationally about business, policy and real life"
"IB3J90","Open Innovation in the Digital Economy"
"IB2420","Digital Business and Workplace Technologies"
"IB3260","Consumer Behaviour"
"IB3650","Marketing Communications"
"IB3870","Marketing Strategy"
"IB2430","Business Systems Development"
"IB2170","Starting a Business"
"IB3880","International Marketing"
"IB3J50","Emotions in Business"
"IB3F70","Understanding the Entrepreneur"
"IB3E00","Comparative European Employment Relations"
"IB3E10","International and European Employment Relations"
"IB2540","Principles of Finance 2"
"IB3850","Marketing"
"IB9BW0","Analytics in Practice"
"IB3K20","Financial Optimisation"
"IB3610","Equality and Diversity"
"IB3K10","Global Sourcing and Innovation"
"IB2390","Changing Organisations"
"IB2470","Improving Process Performance"
"IB4090","Business and Society in Contemporary Germany"
"IB3260","Buyer Behaviour"
"LL2360","French 3"
"IT1010","Italian for Beginners"
"LL1280","Spanish for International Business 1"
"IB3520","Applied Optimization Methods"
"EC2260","Econometrics 1"
"IB3K50","Business Data Analytics"
"EC3060","Econometrics 2: Time Series"
"IB3700","Managing Strategy in the Digital Era"
"IB3K50","Artificial Intelligence for Business"
"LL1300","Chinese 1"
"IB2560","UPP Accounting and Finance in Context"
"IB2570","UPP Employment Year Portfolio"
"EC2030","Economic and Social Statistics"
"EC2050","Development Economics:Macroeconomics"
"EC3360","International Trade"
"IB3D90","Corporate Strategy Part B"
"IB3121","Project (Half weight)"
"LA3630","Law, Globalisation and the Environment"
"IB3H80","Leadership"
"IB2190","Quantitative Methods for Multivariate Analysis"
"IB3F60","Understanding Enterprise"
"IB3H40","Styles of Coaching and Team Leadership"
"IB94W0","Spreadsheet Modelling"
"IB9BQ0","Pricing & Revenue Management"
"LA3650","Financial Services Regulation"
"LA2270","Introduction to Competition Law"
"IB1360","Data Modelling and Analysis"
"IB3J00","Behavioural Economics"
"LA3410","Introduction to Law and Culture of Japan"
"IB3E80","Managerial Work and Practice"
"IB3J80","Banks and Financial Systems"
"LL2570","Spanish Intermediate Accelerated"
"LL2080","French 4"
"LL1130","French 1"
"IL0180","Censorship and Society"
"LL2240","Spanish 4"
"LL2280","Spanish 5"
"LL2930","Russian Beginners Accelerated"
"IB2610","Enterprise Information Systems"
"PO2300","States and Markets: An Introduction to International Political Economy"
"LL2640","Spanish Beginners Accelerated"
"LL2220","Spanish 3"
"IT1050","Working Italian"
"LL2B2","Italian beginners"
"LL2630","German Beginners Accelerated"
"LL2370","German 3"
"LL1310","Arabic 1"
"LL2120","German 5"
"LL1290","Japanese 1"
"LL2250","Japanese 2"
"IB3H50","Images of Creativity"
"IB3J60","Neuroscience for Business and Social Studies"
"IB3G40","Law for Entrepreneurs"
"IL0230","Genetics: Science and Society"
"IL0080","Reinventing Education"
"HA2C70","Italian Renaissance Sculpture"
"LL2350","German 2"
"LL2500","French for Business (advanced 1)"
"LL2510","French for Business (advanced 2)"
"PS2180","Developmental Psychology"
"IT3010","Modern Italian Language III"
"GD1070","Global Sustainable Development (GSD) Project"
"IB1340","Digital Business in Modern Organisations"
"IB1350","Business Systems Analysis"
"LL2620","French Beginners Accelerated"
"IB2660","Fundamentals of Finance"
"IL0220","Sport, Philosophy and Practice"
"IT2010","Modern Italian Language II"
"LL2340","French 2"
"IL0120","Achieving Sustainability"
"IB3120","Project (Full weight)"
"EC1210","Mathematical Techniques A"
"EC2030","Applied Econometrics"
"LL2A10","Arabic Extra (Continuation)"
"LL1210","Spanish 1"
"CS1180","Programming for Computer Scientists"
"MA1170","Programming for Scientists"
"LL2530","Russian 3"
"PO2420","Political Economy and the Liberal-Democratic State"
"PH3290","Truth, Consequence and Paradox"
"LL2390","Chinese 4"
"LL2450","Chinese 5"
"LL2330","Arabic 2"
"LL2260","Japanese 3"
"LL3130","Chinese 6 for Business"
"IL0270","Interdisciplinary Computer Modelling"
"LL2110","German 4"
"LL1220","Russian 1"
"LL2160","Russian 2"
"EC2040","Economics 2"
"LL2A9","Chinese for Heritage Students"
"IB2600","Business Consulting/Research Methods"
"IB2630","Design Thinking for Digital Innovation"
"IB3E90","Managing IT Solution Architecture"
"IB3E50","Managing IT Enterprise Architecture"
"IB3K40","Dissertation UGISMI"
"IB2A80","Study Year Abroad"
"IB2A70","Study Abroad Part-Year"
"IB2A90","Work Placement Part Year"
"LA3580","Child Law"
"LA3590","Family Law"
"LA3550","Conflict of Laws in a Commercial Context"
"LA2410","Law & Policies of the European Union"
"LA2330","Refugee and Asylum Law"
"LA3540","An Introduction to Islamic Law"
"LL3160","Chinese Advanced Reading and Writing"
"LA2050","International Law"
"LA3840","The Art of Advocacy: Mooting and Forensic Rhetoric"
"LL2590","Arabic 3"
"LL1170","German 1"
"LA2170","Social Theory of Law"
"LA3720","Foundations of Commercial Law"
"LA3730","Advanced Legal System"
"IB2B00","Work Placement Year"
"IB3770","Advanced Financial Reporting"
"SO2400","Commercial Cultures in Global Capitalism"
"LL2B20","Italian beginners accelerated"
"GD3060","Achieving Sustainability: Potentials and Barriers"
"LL2150","Spanish 2"
"LL2290","German 6"
"LL2970","French Through Translation"
"IB3L00","Critical Perspectives of Accounting"
"LL2950","Spanish Language Through Films"
"LL2940","Spanish through Translation"
"IB3900","Year Abroad Portfolio"
"IB3860","International Business in Context"
"IB4050","International Perspectives in Business , Management and Society"
"IL0260","Gender & Violence"
"LL3070","French Language of Contemporary France"
"LL3080","French Language for Enterprise"
"LL2230","Spanish for International Business 2"
"LL3120","Spanish for International Business 4"
"GE1020","Modern German Language (International Business) I"
"GE2020","Modern German Language (International Business) II"
"GE3010","German for International Business 4"
"EC1190","Mathematical Analysis"
"LL2990","Portuguese Intermediate accelerated"
"EC2080","Industrial Economics 1: Market Structure"
"IB3H00","International Management in Context"
"IL0200","Entrepreneurship A Critical Perspective"
"LL2920","Portuguese Beginners (Accelerated)"
"PS2200","Social Psychology"
"IL0020","Navigating Psychopathology"
"PS3590","Behaviour Change"
"IT1070","Modern Italian Language I"
"PS1150","Topics in Psychology"
"PO2400","Capitalism and Its Alternatives"
"EN3930","Advanced Screenwriting"
"CS1260","Design of Information Structures"
"CS1300","Mathematics for Computer Scientists I"
"CS1310","Mathematics for Computer Scientists II"
"CS1320","Computer Organisation and Architecture"
"CS1330","Professional Skills"
"CS1390","Web Development Technologies"
"CS1400","Computer Security"
"CS2410","Operating Systems and Computer Networks"
"CS2550","Artificial Intelligence"
"CS2580","Database Systems"
"CS2590","Formal Languages"
"CS2600","Algorithms"
"CS2610","Software Engineering"
"CS2620","Logic and Verification"
"IB3140","Business Studies II"
"IB3200","Simulation"
"IB0040","Business Mathematics and Statistics"
"IB0050","Foundations of Business"
"IB0060","CORE Learning"
"IB0070","Creativity and Innovation"
"IB0080","Individual Project"
"ST3390","Introduction to Mathematical Finance"
"IB9HP0","Data Management"
"IB9BS0","Supply Chain Analytics"
"PO3840","East Asian Transformations: A Political Economy Perspective"
"EC1060","Introduction to Quantitative Economics"
"MA1060","Linear Algebra"
"EC2200","Mathematical Economics 1a"
"EC2210","Mathematical Economics 1b"
"MA2130","Second Year Essay"
"MA2250","Differentiation"
"MA2310","Vector Analysis"
"MA2440","Analysis III"
"MA2490","Algebra II: Groups and Rings"
"MA2510","Algebra I: Advanced Linear Algebra"
"MA1240","Mathematics by Computer"
"ST1110","Probability Part A"
"MA1320","Foundations"
"MA134","Geometry and Motion"
"MA1360","Introduction to Abstract Algebra"
"MA1330","Differential Equations"
"MA1310","Analysis"
"IL0060","Climate Change"
"PX1010","Quantum Phenomena"
"PX1400","Electronics Workshop"
"PX1440","Introduction to Astronomy"
"PX1450","Physics Foundations"
"PX1460","Key Skills for Physics"
"PX1480","Classical Mechanics & Special Relativity"
"PX1490","Mathematics for Physicists"
"PX1500","Physics Programming Workshop"
"PX2630","Electromagnetic Theory and Optics"
"PX2640","Physics of Fluids"
"PX2650","Thermal Physics II"
"PX2680","Stars"
"PX2710","Physics Skills"
"PX2750","Mathematical Methods for Physicists"
"PX1100","Physics Laboratory"
"PX1200","Electricity and Magnetism"
"PX2620","Quantum Mechanics and its Applications"
"ES1740","Design for Function"
"ES1820","Multimedia Technology"
"ES1830","Engineering Mathematics and Systems Modelling"
"ES1840","Mechanics, Structures and Thermodynamics"
"ES1850","Electrical and Electronic Circuits"
"ES1870","Introduction to Engineering Business Management"
"ES2A80","Engineering Design"
"ES2A90","Engineering Mathematics and Technical Computing"
"ES2B00","Mechanics of Solids and Fluids"
"ES2B10","Energy Conservation and Power Systems"
"ES2B20","Technical Operations Management"
"ES2B30","Engineering Materials"
"ES2B60","Starting a Business"
"ES1730","Biomedical Engineering"
"ES1770","The Aesthetics of Design"
"LL2900","Arabic Beginners (Accelerated)"
"PH1230","Elements of Scientific Method"
"CS2630","Cyber Security"
"MA1120","Experimental Mathematics"
"MA2520","Combinatorial Optimisation"
"ST1120","Probability Part B"
"MA2220","Metric Spaces"
"MA1250","Introduction to Geometry"
"PH1360","Logic 1"
"CS3240","Computer Graphics"
"CS2540","Algorithmic Graph Theory"
"ES1810","Technology in International Development"
"IB0060","Academic Practice"
"LL2300","Chinese 3"
"LL3120","Spanish for Business 3"
"EC3200","Economics of Public Policy"
"EC3120","International Economics"
"FI1010","Intro to Film Studies"
"EC2300","Economics of Money and Banking"
"EC3040","Making of Economic Policy"
"EC3330","Topics in Financial Economics: Theory & Intl Pract"
"EC3450","Behavioural Economics: Theory and Applications"
"PO2070","Politics in the USA"
"EQ1050","Social Contexts of Childhood and Education"
"EN1230","Literature in the Modern World"
"EN2010","The European Novel"
"EC2020","Microeconomics 2"
"LL2600","Chinese Intermediate Accelerated"
"SO1160","Sociology of Gender"
"HI2770","Africa and the Cold War"
"EC1040","The World Economy: History & Theory"
"EC3180","Labour Economics"
"EC2240","War and Economy in the Twentieth Century"
"PS2010","Individual Differences"
"EQ1010","Contemporary Educational Issues"
"SO126","Class and Capitalism in the Neoliberal World"
"PH1410","Issues In Philosophy"
"EC2010","Macroeconomics 2"
"SO2420","Designing and Conducting Social Research"
"EC1090","Microeconomics 1"
"EC3370","Industrial Economics 2"
"EC2310","Industrial Economics 1: Strategic Behaviour"
"HI1760","Kill or Cure:  The History of Medicine"
"AM1010","Latin America and the Caribbean"
"CS3420","Machine Learning"
"ST9580","Advanced Topics in Mathematical Finance"
"LA3510","Taxation Law, Policy and Principles"
"EC1320","The Industrial Economy: Strategy"
"LL2550","French Intermediate Accelerated"
"IL0050","Applied Imagination: Theory and Practice"
"LL2B1","Chinese Beginners (Extra)"
"LL2A20","Chinese Extra (Continuation)"
"LL3090","Spanish Language through Contemporary Hispanic Culture"
"LL3110","Spanish for Enterprise"
"LL2090","French 5"
"PH2120","Ethics 2"
"PO3010","Issues in Political Theory"
"GD3050","Challenges of Climate Change"
"IL0290","An Introduction to Design Thinking Theory and Practice"
"LL2B40","Italian Intermediate Accelerated"
"LL20A","German Intermediate Accelerated"
"IL0160","The Science of Music"
"PO2190","Theories of International Relations"
"IT4010","Modern Italian Language IV"
"MA1340","Geometry and Motion"
"MA2540","Theory of ODE's"
"PX1470","Introduction to Particle Physics"
"PX2660","Geophysics"
"MA2410","Combinatorics"
"ST1040","Statistical Laboratory I"
"ST2200","Introduction to Mathematical Statistics"
"ST3330","Applied Stochastic Processes"
"ST2020","Stochastic Processes"
"PS1110","Brain and Behaviour"
"IB3L60","Digital Innovation Project 2"
"LA3970","Practical Advocacy"
"LA2420","Origins, Images and Cultures of English Law"
"LA3630","Climate Change and Law"
"LA3870","Legal Issues of Brexit"
"PS1120","Psychology in Context"
"LA3460","Gender and the Law"
"LA3700","Comparative Constitutional Theory"
"LA3740","Crime and Punishment"
"LA3730","Criminal Evidence"
"PO2010","Political Theory from Hobbes"
"IT1080","Modern Italian Language I (intermediate)"
"CS1370","Discrete Mathematics & its Applications 2"
"ST2220","Games Decisions and Behaviour"
"MA2570","Introduction to Number Theory"
"LL2320","Japanese 4"
"LL2980","French Language Through Films"
"FI1010","Discovering Cinema"
"LL3270","Chinese Advanced Literacy and Oracy"
"HA1A10","Introduction to Art History:The Natural World and the Arts of Modernity"
"LL2A90","Chinese for Heritage Students"
"HA2D10","Spanish Painting of the Golden Age"
"PO2310","International Security"
"LL3240","Portuguese (Advanced)"
"IB1210","Business Statistics"
"IB1220","Business Analytics"
"IB1420","Agile Programming"
"PO3820","Vigilant State: Understanding Secret Intellegence"
"PO1320","Contemporary Themes in Comparative Politics"
"SO127","Crime and Society"
"PO3580","The Politics of European Union Policy-Making"
"SO1120","International Perspectives on Gender"
"PS3530","Developmental Psychopathology"
"PS3550","Attention
Guest access requires password

"
"LL2B30","Chinese Foundational Reading Writing"
"IL0310","Serious Tabletop game design & development"
"IE3E10","Introduction to Secondary School Teaching (Mathematics)"
"CH2220","Chemistry Laboratory"
"CH2420","Introduction to Polymer Chemistry"
"CH2480","Organic Synthesis"
"CH2490","Foundations of Electrochemistry and Properties of Solutions"
"CH2640","Organic Chemistry II"
"CH2650","Statistical Mechanics"
"CH2660","Symmetry & Group Theory in Chemistry"
"CH2670","Transition Metal Chemistry: Structure, Reactivity & Organometalic Chemistry"
"CH2680","Solid State Materials"
"CH2690","Introduction to Biological & Medicinal Chemistry"
"CH2A50","Key Skills"
"CH1550","Chemistry Laboratory and Assessed Work"
"CH1600","Introduction to Inorganic Chemistry"
"CH1610","Introduction to Organic Chemistry"
"CH1620","Introduction to Physical Chemistry"
"PX2730","Physics of Electrical Power Generation"
"PX2670","Hamiltonian Mechanics"
"IB0070","Problem-Solving in Organisations"
"IB1440","Introduction to Innovation and Entrepreneurship"
"IB1430","Digital Ventures"
"IB1410","Digital Innovation Project 1"
"IB2B30","Funding Your Digital Venture"
"LA3520","International Criminal Law"
"LA3910","Data Protection Law"
"LA3200","Comparative Human Rights"
"LA3940","Global Health Law"
"LA2360","Criminal Justice & Human Rights in Europe"
"PH3560","Post-Kantian Social and Political Philosophy: Hegel and Marx
            Module:
Post-Kantian Soci"
"EC1330","Linear Algebra"
"EC1220","Statistical Techniques A"
"EC3380","Econometrics 2: Microeconometrics"
"EC3340","Topics in Financial Economics: Corp Fin & Mkts"
"HI1740","The Enlightenment"
"SO2490","Becoming Yourself: The Construction of the Self in Contemporary Western Societies"
"SO120","Researching Society & Culture"
"GD3040","Food Systems: Security, Sovereignty and Sustainability"
"PO353","Gender and Development"
"PO355","Governing Britain since 1918"
"HI153","Making of the Modern World"
"EC3140","Topics in Economic Theory"
"SO1180","Life of Media: Past, Present and Future"
"EN3870","Queering the Literacy Landscape"
"FR340","States of the Nation: French Cinema and Society from 1990 to the present"
"PO1310","World Politics"
"EC1230","Mathematical Techniques B"
"SO244","Educational Inequalities"
"SO123","Sociology of Education"
"PO380","Britain and the War on Terror"
"HI1770","A History of Africa, 1830-1980"
"PH142","Central Themes in Philosophy"
"IB0040","Statistics"
"EQ2040","Work based placement"
"QS1040","Introduction to Social Analytics I"
"EC3400","Topics in Applied Economics"
"MA2590","Multivariable Calculus"
"MA2600","Norms Metrics and Topologies"
"FP0110","Inquiry and Research Skills for Business"
"FP0180","Economics"
"FP0200","Pure Mathematics"
"FP0060","Mathematics and Statistics"
"PH3810","Philosophy of Emotions"
"EN1010","Epic into Novel"
"EC2280","Collective Decisions"
"PH1430","Existence, Experience, History: Key Topics in Continental Philosophy"
"CS1410","Functional Programming"
"IB1450","CORE: Foundations, Skills and Debates"
"IB1460","Accounting for Business"
"IB1170","Principles of Marketing and Strategy"
"IB1470","Management of Global Risks"
"IB1130","Business Law"
"IE3E2","Introduction to Secondary Teaching in Physics"
"PX277","Computational Physics"
"ES101","Introduction to Engineering: Professionalism and Practice"
"ES190","Dynamics and Thermodynamics"
"ES191","Electrical and Electronic Circuits"
"ES192","Engineering Design"
"ES193","Engineering Mathematics"
"ES194","Introduction to Engineering Business Management"
"ES195","Materials for Engineering"
"ES196","Statics and Structures"
"ES197","Systems Modelling, Simulation and Computation"
"ES2C5","Dynamics and Fluid Mechanics"
"ES2C6","Electromechanical System Design"
"ES2C7","Engineering Mathematics and Data Analytics"
"ES2D0","Industrial Engineering"
"ES2D7","Systems and Software Engineering Principles"
"ES2D8","Technical Operations Management"
"IB0100","Intermediate Mathematics"
"PO1330","Foundations of Political Economy"
"LL2B50","Chinese Foundational Literacy and Oracy"
"LL2560","Russian 4"
"IL0300","South Asia in Britain: Connections, Communities and Conflict"
"SO1230","Sociology of Education"
"IL0170","Community Engagement"
"IL0320","Critical Understandings, Practices and Action"
"PH3580","Feminism"
"IB0090","Advanced Mathematics"
"EC3070","Macroeconomic Policy in the EU"
"EC3130","The International Economic System since 1918"
"ET2150","Quantitative Research Methods"
"EC3030","The British Economy in the 20th Century"
"PS2100","Language and Thought"
"PH2110","Ethics 1"
"PS2110","Perception, Planning and Action"
"SO3440","Sociology of Knowledge, Science and Intellectuals"
"SO3410","Transnationalism and New Media"
"PO3980","Politics and Culture in the Middle East"
"PO2060","Politics in the United Kingdom"
"IB2490","CORE: Global Environment of Business"
"PS3600","Nonverbal Behaviour"
"SO1220","Race and the Making of the Modern World"
"PS3670","Psychology Across Cultures"
"EC3100","Topics in Development Economics"
"SO2560","Gender, Crime and Justice"
"EQ1040","International Education"
"HI2B60","A Social History of Cricket"
"IB1480","Principles of Marketing"
"LA1160","Introduction to Legal Theory"
"GE1030","Modern German Language for Beginners"
"GE1010","Modern German Language I"
"PO1350","Nine Ideas in International Security"
"LA3670","International Economic Law"
"PO3740","Politics of Globalisation"
"PO3910","Political Economy of Money"
"PH2520","Epistemology"
"SO3410","Transnational Media Ecologies"
"PH1440","Mind & Reality"
"SO2310","Transformations: Gender, Reproduction & Parenting in Contemporary Society"
"CX1020","Introduction to Greek & Roman History"
"HI2A50","Individual, Polis and Society: Philosophical Reflections in History"
"HI2B50","A Global History of Football"
"PO3870","State, Power, Freedom: European Political Theory"
"SO1280","History of Sociological Thought"
"EC2330","Development Economics: Microeconomics"
"EC1380","Introduction to Environmental Economics"
"IL0240","Laughter: a Transdisciplinary Approach"
"EQ3070","Race, Ethnics and Education"
"PH148","Philosophy for the Real World: Knowledge, Ignorance and Bullshit"
"ST402","Risk Theory"
"EQ3130","Education and Social Justice"
"PO1340","Justice, Democracy and Citizenship"
"SO350","Punishment, Justice and Control"
"IB9X30","Research Methods for Marketing and Strategy"
"IB9BC0","Strategic Management Accounting"
"ST9090","Continuous Time Finance for Interest Rate Models"
"IB93PB","International Business"
"IB91W0","Operations Management"
"IB2C50","Foundations of Marketing"
"IB91X0","Marketing"
"IB91SB","Strategy Analysis and Practice"
"IB9AZ0","Fundamentals of Economic Behaviour"
"IB98R0","Leading and Managing Change"
"IB2B50","Marketing Strategy"
"IB2C10","Fundamentals of Business Law"
"IB9BCB","Strategic Management Accounting"
"IB2C20","Critical Issues in Law and Management"
"IB2B80","Operations Management"
"GE2010","Modern German Language II"
"IB9110","Asset Pricing and Risk"
"IB9170","Operations Management"
"IB9490","Investment Management"
"IB98W0","Management Accounting & Control"
"IB9AY0","Marketing"
"IB9EM0","Corporate Financial Management"
"IB9EN0","Financial Markets"
"IB9FQ0","Financial Accounting: Theory and Context"
"IB9U00","Financial Management"
"IB9W00","Quantitative Methods for Financial Management"
"IB9X60","Quantitative Methods for Finance"
"IB9Y00","Financial Markets and Instruments"
"IB9Y80","Asset Pricing"
"IB0010","Undergraduate Induction Programme"
"IB0011","Undergraduate Induction Foundation Year"
"IB0010","Undergraduate induction Programme"
"IB145W","CORE: Foundations, Skills & Debates Workshop"
